Id,Designator,Footprint,Quantity,Designation,Supplier and ref,supplemental parts,
25,U2,QFN40P900X900X100-77N,1,FT601Q-B-T,https://www.mouser.com/ProductDetail/FTDI/FT601Q-B-T?qs=p9T7GgSe1IHuZCV7KGuelQ%3D%3D,,
26,U4,ZCF135_TEX_NO_PASTE,1,AFE5812ZCF,https://www.mouser.com/ProductDetail/Texas-Instruments/AFE5812ZCF?qs=jpHf3Ogds1wdWEifNjYuZA%3D%3D,,
27,"R4,R5",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,2,250K,https://www.mouser.com/ProductDetail/Panasonic/ERJ-PA2D2493X?qs=sGAEpiMZZMtlubZbdhIBIA9n2NI7aX0AgwM9v08p8RI%3D,,
28,"R12,R6",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,2,5.1k,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW04025K10JNED?qs=sGAEpiMZZMtlubZbdhIBIGers3s%252BrWlM5xYUG0lqZPo%3D,,
29,J3,PinSocket_2x07_P2.00mm_Vertical,1,Conn_02x07_Odd_Even,https://www.mouser.com/ProductDetail/Molex/87831-1435?qs=kNSQ05%252BLZoDWRPEqPkM6DQ%3D%3D,,
30,"R16,R14",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,2,100k,https://www.mouser.com/ProductDetail/Panasonic/ERJ-H2RD1003X?qs=eP2BKZSCXI4AgmLrPoTcjA%3D%3D,,
31,U3,SN74HCS541RKSR,1,HD3SS3212IRKSR,https://www.mouser.com/ProductDetail/Texas-Instruments/HD3SS3212IRKSR?qs=GURawfaeGuCBk5SYUlUAfw%3D%3D,,
32,"C75,C74",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,2,18p,https://www.mouser.com/ProductDetail/KYOCERA-AVX/04025A180GAT2A?qs=tGdZP2ZdRP0kqZUhomJhdQ%3D%3D,,
33,C6,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1,0.1u ,https://www.mouser.com/ProductDetail/KYOCERA-AVX/0402X7R104KT7AT?qs=sGAEpiMZZMsh%252B1woXyUXj30ZYomYlxpXfdgyeMcG5u4%3D,,
34,C76,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,1,10u,https://www.mouser.com/ProductDetail/KYOCERA-AVX/04024D106MAT2A?qs=NBFAU1oqP4W0zKsr62mI7A%3D%3D,,
35,"R9,R13",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,2,4.3k,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW04024K30JNED?qs=hAuyw6LW%252BLgIGQh4eckejg%3D%3D,,
36,R11,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,1,1.6k,https://www.mouser.com/ProductDetail/Vishay-Dale/CRCW04021K60FKTD?qs=8YOjkUvjcV0g3cR%252BZ1c%2FJA%3D%3D,,
37,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,30Meg,https://www.mouser.com/ProductDetail/Wurth-Elektronik/830059646?qs=2WXlatMagcF%252BLmGDoXCbKA%3D%3D,,
38,J4,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Pin,https://www.mouser.com/ProductDetail/Amphenol-FCI/68000-204HLF?qs=osVJq4lsVJeuKNYS29q3NQ%3D%3D,,
39,B1,Element_no_top,1,Alchitry_Element_AU,https://www.mouser.com/ProductDetail/SparkFun/DEV-16527?qs=W%2FMpXkg%252BdQ6G3CPW%2FClVVA%3D%3D,,
40,TP3,TestPoint_Pad_2.0x2.0mm,1,3.3VA,,,
41,TP6,TestPoint_Pad_2.0x2.0mm,1,1.8VD,,,
42,TP7,TestPoint_Pad_2.0x2.0mm,1,GND,,,
43,TP4,TestPoint_Pad_2.0x2.0mm,1,3.3VD,,,
44,TP5,TestPoint_Pad_2.0x2.0mm,1,1.8VA,,,
45,TP1,TestPoint_Pad_2.0x2.0mm,1,5VA,,,
46,TP2,TestPoint_Pad_2.0x2.0mm,1,5V,,,
